Number,Mound,Ditch,St Francis,Platform,Num_Mounds,Max Mound Area (sq ft),Max Mound Height (ft),PFG Type,Easting,Northing,Name
14-M-3,1.0,0.0,0,0.0,3,7853.981633974483,10.0,Conical Mound,686800.0,3828650.0,Broom
14-N-1,1.0,0.0,0,0.0,1+,0.0,3.0,,716829.0,3833936.0,Moore
14-N-2,0.0,0.0,0,0.0,0,0.0,0.0,,717745.0,3834450.0,Steagall
14-N-3,1.0,0.0,0,0.0,1,0.0,0.0,,706883.0,3847076.0,McCoullough Mound
14-N-4,0.0,0.0,0,0.0,0,0.0,0.0,,715513.0,3822960.0,Bowie Village
14-N-5,1.0,0.0,0,0.0,1,0.0,0.0,,715532.0,3821916.0,Coolidge Mound
14-N-6,1.0,0.0,0,0.0,1+,0.0,0.0,,720022.0,3820480.0,Helena Crossing
14-O-1,1.0,0.0,0,1.0,4,0.0,12.0,Small Ceremonial Center,738920.0,3835900.0,Evansville
14-O-10,1.0,0.0,0,1.0,2+,0.0,18.0,Small Ceremonial Center,731878.0,3825601.0,West Mounds
14-O-11,1.0,0.0,0,0.0,1,0.0,0.0,,749901.0,3845370.0,Kendall Mound
14-O-12,1.0,0.0,0,0.0,1,0.0,0.0,,750923.0,3844028.0,Jepson
14-O-13,1.0,0.0,0,0.0,1,3000.0,12.0,Conical Mound,750391.0,3827349.0,Canon
14-O-2,1.0,0.0,0,0.0,2,0.0,12.0,Small Ceremonial Center,737160.0,3834164.0,Owens
14-O-3,1.0,0.0,0,0.0,2+,0.0,11.0,Small Ceremonial Center,738770.0,3834660.0,Beaverdam
14-O-4,1.0,0.0,0,1.0,4,0.0,10.0,Small Ceremonial Center,737110.0,3846780.0,Perry
14-O-5,0.0,0.0,0,0.0,0,0.0,0.0,,733381.0,3844990.0,McKinney Bayout
14-O-6,1.0,0.0,0,0.0,1,0.0,12.0,Small Ceremonial Center,741160.0,3847260.0,Johnson Cemetery
14-O-7,1.0,0.0,0,0.0,1+,0.0,0.0,,737112.0,3841160.0,Oakwood Cemetery
14-O-8,1.0,0.0,0,0.0,4,0.0,15.0,Small Ceremonial Center,733102.0,3822844.0,Dundee
14-O-9,1.0,0.0,0,0.0,1,0.0,0.0,,731131.0,3827081.0,Norflett
14-P-1,1.0,0.0,0,0.0,1,0.0,0.0,,754500.0,3842090.0,McKane
14-P-2,0.0,0.0,0,0.0,0,0.0,0.0,,752967.0,3842770.0,Prichard
15-L-1,1.0,0.0,0,0.0,2,9503.317777109125,7.0,,671920.0,3791982.0,Butler Mound
15-L-2,1.0,0.0,0,1.0,9,0.0,20.0,Large Ceremonial Center,678893.0,3806090.0,Baytown
15-M-1,1.0,0.0,0,0.0,2,0.0,4.0,Small Ceremonial Center,688201.0,3800420.0,Tinsley Mound
15-M-2,1.0,0.0,0,0.0,1,0.0,0.0,,697684.0,3797552.0,Elaine
15-M-3,1.0,0.0,0,0.0,1,0.0,0.0,,697618.0,3798307.0,Elaine Consolidated School Mound
15-M-4,1.0,0.0,0,0.0,1,0.0,0.0,,696687.0,3796524.0,Crow
15-M-5,1.0,0.0,0,0.0,1+,0.0,0.0,,686320.0,3806844.0,Vogel Mounds
15-N-1,1.0,0.0,0,0.0,3,0.0,20.0,Large Ceremonial Center,720290.0,3814590.0,Fitzhugh
15-N-10,1.0,0.0,0,0.0,2,6361.725123519331,9.0,Conical Mound,731312.0,3804144.0,Dickerson
15-N-2,1.0,0.0,0,0.0,1,0.0,6.0,Small Ceremonial Center,718757.0,3810440.0,Ellis
15-N-3,0.0,0.0,0,0.0,2,0.0,12.0,St. Francis,708268.0,3808000.0,Old Town
15-N-4,0.0,0.0,0,0.0,0,0.0,0.0,,707130.0,3806300.0,Buie
15-N-5,1.0,0.0,0,1.0,1+,0.0,0.0,,725377.0,3803580.0,Parchman Place
15-N-6,1.0,0.0,0,1.0,2,0.0,0.0,,713147.0,3797449.0,Montgomery
15-N-7,1.0,0.0,0,0.0,1,0.0,0.0,,714046.0,3797160.0,Stovall
15-N-8,1.0,1.0,0,1.0,3,0.0,0.0,,714335.0,3797169.0,Carson Group
15-N-9,1.0,0.0,0,1.0,1,0.0,0.0,,726677.0,3808956.0,Vaught Mound
15-O-1,1.0,0.0,0,1.0,11,0.0,27.0,Small Ceremonial Center,731320.0,3804150.0,Salomon
15-O-10,1.0,0.0,0,1.0,1,0.0,10.0,Small Ceremonial Center,730411.0,3808537.0,Wilsford
15-O-12,1.0,0.0,0,0.0,1,0.0,0.0,Conical Mound,747038.0,3795120.0,D'Orr
15-O-13,1.0,0.0,0,1.0,1+,0.0,0.0,,749936.0,3813392.0,Allison
