seed,nc_co,nc_tt,fst_co,fst_tt
418,3.0,2.0,0.012464883974126971,0.005309022898267842
419,3.0,2.0,0.0176249644488969,0.006960745037283698
420,3.0,2.0,0.031503867758926156,0.006216481858413216
421,3.0,2.0,0.019845746821542398,0.005257135363141338
422,4.0,3.0,0.03382218215867011,0.012119935432159919
423,3.0,2.0,0.022699248196792546,0.003314232670077771
424,4.0,2.0,0.03302493334103109,0.0050548843331809385
425,3.0,2.0,0.02206147915086229,0.006135627799669853
426,3.0,2.0,0.01803450064089303,0.007150479968918975
427,4.0,2.0,0.026254639201083434,0.004578626676603828
428,4.0,2.0,0.028597970071713615,0.007901235635847274
429,3.0,2.0,0.02384612626687802,0.00580432090442686
430,3.0,2.0,0.02562496252089687,0.00531608133779065
431,3.0,2.0,0.020421285670243396,0.00541109210811336
432,3.0,3.0,0.023132997337630922,0.012622478601034465
433,3.0,2.0,0.016815652548678655,0.005434610250720479
434,3.0,2.0,0.017575847853397518,0.008733114719145136
435,3.0,2.0,0.013023299670521427,0.008049948073730597
436,2.0,2.0,0.013653707784153746,0.005109731598199157
