len_km,mix,mu,seed,ncom,fst,rho
24.0000,0.0500,0.0060,6,2,0.023453,0.715928
24.0000,0.0500,0.0060,7,2,0.022041,0.817187
24.0000,0.0500,0.0060,8,3,0.030874,0.391352
24.0000,0.0500,0.0060,9,3,0.018601,0.596059
24.0000,0.0500,0.0060,10,3,0.033335,0.605911
24.0000,0.0500,0.0060,11,2,0.016503,0.854953
24.0000,0.0500,0.0120,0,2,0.009668,0.842912
24.0000,0.0500,0.0120,1,2,0.016115,0.292282
24.0000,0.0500,0.0120,2,2,0.017904,0.712644
24.0000,0.0500,0.0120,3,2,0.013042,0.320197
24.0000,0.0500,0.0120,4,2,0.013876,0.698960
24.0000,0.0500,0.0120,5,2,0.014519,0.503558
24.0000,0.0500,0.0120,6,2,0.015107,0.689108
24.0000,0.0500,0.0120,7,2,0.017143,0.381500
24.0000,0.0500,0.0120,8,2,0.010543,0.542419
24.0000,0.0500,0.0120,9,3,0.016413,0.351943
24.0000,0.0500,0.0120,10,2,0.014676,0.529830
24.0000,0.0500,0.0120,11,2,0.011674,0.806787
24.0000,0.0500,0.0240,0,2,0.008075,0.574713
24.0000,0.0500,0.0240,1,2,0.005994,0.539683
24.0000,0.0500,0.0240,2,2,0.009317,0.415435
24.0000,0.0500,0.0240,3,2,0.010429,0.447181
24.0000,0.0500,0.0240,4,2,0.007173,0.375479
24.0000,0.0500,0.0240,5,2,0.004952,0.214559
24.0000,0.0500,0.0240,6,2,0.007197,0.782704
24.0000,0.0500,0.0240,7,2,0.004701,0.266557
24.0000,0.0500,0.0240,8,2,0.004802,0.259442
24.0000,0.0500,0.0240,9,2,0.009055,0.407772
24.0000,0.0500,0.0240,10,2,0.007531,0.483306
24.0000,0.0500,0.0240,11,2,0.011484,0.412698
36.0000,0.0100,0.0060,0,2,0.028926,0.713738
36.0000,0.0100,0.0060,1,2,0.032242,0.657909
36.0000,0.0100,0.0060,2,2,0.021681,0.796388
36.0000,0.0100,0.0060,3,2,0.028560,0.892173
36.0000,0.0100,0.0060,4,2,0.021437,0.222222
36.0000,0.0100,0.0060,5,3,0.038203,0.504105
36.0000,0.0100,0.0060,6,2,0.024939,0.124247
36.0000,0.0100,0.0060,7,2,0.024082,0.663930
36.0000,0.0100,0.0060,8,3,0.040114,0.709360
36.0000,0.0100,0.0060,9,2,0.034470,0.689655
36.0000,0.0100,0.0060,10,2,0.019926,0.607006
36.0000,0.0100,0.0060,11,2,0.029229,0.751505
36.0000,0.0100,0.0120,0,2,0.012152,0.567050
36.0000,0.0100,0.0120,1,2,0.014609,0.372742
36.0000,0.0100,0.0120,2,3,0.018477,0.665572
36.0000,0.0100,0.0120,3,3,0.017499,0.627258
36.0000,0.0100,0.0120,4,3,0.026090,0.523810
36.0000,0.0100,0.0120,5,2,0.017482,0.421456
36.0000,0.0100,0.0120,6,2,0.015309,0.760810
36.0000,0.0100,0.0120,7,2,0.011612,0.558292
36.0000,0.0100,0.0120,8,2,0.007422,0.643678
36.0000,0.0100,0.0120,9,2,0.016062,0.669951
36.0000,0.0100,0.0120,10,3,0.021267,0.412151
36.0000,0.0100,0.0120,11,3,0.025155,0.495895
36.0000,0.0100,0.0240,0,2,0.005695,0.304324
36.0000,0.0100,0.0240,1,2,0.010076,0.200328
36.0000,0.0100,0.0240,2,2,0.010327,0.333881
36.0000,0.0100,0.0240,3,2,0.006869,0.748768
36.0000,0.0100,0.0240,4,2,0.006348,0.629995
36.0000,0.0100,0.0240,5,2,0.013702,0.409414
36.0000,0.0100,0.0240,6,2,0.008791,0.472906
36.0000,0.0100,0.0240,7,2,0.005458,0.311987
36.0000,0.0100,0.0240,8,2,0.009188,0.536946
36.0000,0.0100,0.0240,9,2,0.007688,0.371648
36.0000,0.0100,0.0240,10,2,0.011398,0.473454
36.0000,0.0100,0.0240,11,2,0.010770,0.314724
36.0000,0.0200,0.0060,0,2,0.019470,0.887794
36.0000,0.0200,0.0060,1,3,0.034418,0.847838
36.0000,0.0200,0.0060,2,2,0.019829,0.577449
36.0000,0.0200,0.0060,3,2,0.021254,0.909688
36.0000,0.0200,0.0060,4,2,0.021461,0.418172
36.0000,0.0200,0.0060,5,2,0.018362,0.679803
36.0000,0.0200,0.0060,6,2,0.020329,0.808429
36.0000,0.0200,0.0060,7,2,0.022263,0.495895
36.0000,0.0200,0.0060,8,2,0.024356,0.588396
36.0000,0.0200,0.0060,9,2,0.022438,0.512315
36.0000,0.0200,0.0060,10,2,0.016576,0.692939
36.0000,0.0200,0.0060,11,2,0.020012,0.853311
36.0000,0.0200,0.0120,0,2,0.016050,0.800219
36.0000,0.0200,0.0120,1,2,0.011946,0.547893
36.0000,0.0200,0.0120,2,2,0.012891,0.622879
36.0000,0.0200,0.0120,3,2,0.010709,0.636015
36.0000,0.0200,0.0120,4,2,0.012527,0.732348
36.0000,0.0200,0.0120,5,2,0.016435,0.695676
36.0000,0.0200,0.0120,6,2,0.011436,0.672687
36.0000,0.0200,0.0120,7,2,0.009408,0.523810
36.0000,0.0200,0.0120,8,2,0.008317,0.681992
36.0000,0.0200,0.0120,9,2,0.012653,0.724138
36.0000,0.0200,0.0120,10,2,0.012921,0.420909
36.0000,0.0200,0.0120,11,2,0.017661,0.442802
36.0000,0.0200,0.0240,0,2,0.004160,0.390805
36.0000,0.0200,0.0240,1,2,0.012963,0.342638
36.0000,0.0200,0.0240,2,2,0.007230,0.366721
36.0000,0.0200,0.0240,3,1,nan,0.662835
36.0000,0.0200,0.0240,4,2,0.006349,0.511768
36.0000,0.0200,0.0240,5,2,0.011658,0.468528
36.0000,0.0200,0.0240,6,2,0.006307,0.619595
36.0000,0.0200,0.0240,7,2,0.003892,0.505747
36.0000,0.0200,0.0240,8,2,0.010143,0.146141
36.0000,0.0200,0.0240,9,2,0.010229,0.442802
36.0000,0.0200,0.0240,10,2,0.012503,0.622332
36.0000,0.0200,0.0240,11,2,0.007899,0.379310
36.0000,0.0500,0.0060,0,2,0.013040,0.752600
36.0000,0.0500,0.0060,1,2,0.023839,0.703886
