seed,nc,prec,rec,fst_bo,jk0,jk1,jk2,jk3,jk4,jk5,jk6,jk7
47,2.0,0.1590909090909091,0.875,0.003280898062472033,0.002843691483320762,0.003468981342217241,0.0031041421213131785,0.0033735476710688573,0.0032791122636106874,0.0033415081257174,0.0033397169795927866,0.003400077541001292
48,2.0,0.19047619047619047,1.0,0.0034266686038083504,0.003035344818211956,0.0033991860177405736,0.003237166215058687,0.0032650439633264633,0.003644341355087165,0.0034580695432018,0.003033376202779506,0.003560762875274737
49,2.0,0.17777777777777778,1.0,0.004615235022778402,0.003699170311328881,0.004698638788356627,0.004267106054484783,0.0027088491127282115,0.005639159658911172,0.004731665933964324,0.003774097218765049,0.004481280390300157
50,2.0,0.21052631578947367,1.0,0.008971371097769024,0.007204235430450341,0.009216401906017704,0.006350854214329739,0.00640284621589383,0.0095121906182792,0.008971149373110214,0.008368129266627576,0.00970085317759332
51,2.0,0.18181818181818182,1.0,0.0035997630642201003,0.00377286782882178,0.0036993670191462474,0.004568107222413899,0.0022041188866537727,0.0036967255316933197,0.0036158160770331424,0.002912584858175349,0.003956332431097194
52,2.0,0.17777777777777778,1.0,0.0045050072119091665,0.0038602440167919143,0.004535739171895298,0.0033616613142278297,0.0038657268276355585,0.0046459250041169225,0.004533052061175488,0.004878299962220507,0.004666817814885355
53,2.0,0.16666666666666666,0.875,0.00473048340115866,0.005074367749715582,0.004916415848172816,0.003674534520927145,0.003614748339855836,0.004777794377912669,0.004783511326251116,0.0040555461658001325,0.005283823500466693
54,2.0,0.17777777777777778,1.0,0.004056068803069112,0.0037253365862374025,0.004190050901792307,0.003384861938132227,0.004119268024699317,0.003851221618462138,0.0040740374008466605,0.003936067817919995,0.003914197679265074
55,3.0,0.25,0.75,0.007887725902845841,0.0071561609654614096,0.0077042768352155976,0.005589669326802433,0.004941997016818883,0.008071991739503967,0.008007257700525999,0.006703290602915987,0.00735956003394617
56,2.0,0.21621621621621623,1.0,0.003762806653772559,0.0027669251361125266,0.0038295175946572828,0.0026475092235697575,0.0037438498438031784,0.004041787721276627,0.003726706929484661,0.0032610969617261733,0.004152934966317906
57,2.0,0.17777777777777778,1.0,0.0051976971112696925,0.004638757731259247,0.005170216767263439,0.003469025276619292,0.004735556246025666,0.005916214030817038,0.005201321615461763,0.0036623280924565835,0.00483856797285309
58,2.0,0.175,0.875,0.004250554651449965,0.004149936201431247,0.004393505429252018,0.002610840477995675,0.002374849977175936,0.004802900114394424,0.004321472373197669,0.003870165730056542,0.004277797730655304
59,2.0,0.20512820512820512,1.0,0.005370917997360344,0.005690109505029227,0.005284798558161531,0.003993913696521236,0.004806767836461703,0.005851649308826195,0.005265136538835404,0.003569497557717608,0.005231386980058517
60,2.0,0.18181818181818182,1.0,0.004904455077013396,0.004572775272339707,0.004954395104739333,0.005457350025503124,0.0038562860257569513,0.005469405380308733,0.004856580492066177,0.004749117243837619,0.005699008006705554
61,2.0,0.17391304347826086,1.0,0.0037258840986916326,0.003374447592940604,0.003764728849731019,0.0030461184859601983,0.003751194197110318,0.0040071420119201,0.0037808113123675765,0.003464439017323012,0.0031381660960384974
62,2.0,0.17073170731707318,0.875,0.003942746629640802,0.0035422245371062792,0.004034508314223988,0.0031949665582651876,0.004503916150471688,0.003861932149071888,0.004011272704199213,0.0043391933476565545,0.00403665366947385
63,2.0,0.1891891891891892,0.875,0.004500458040624514,0.004070688242745226,0.004473060187575733,0.003326831842178638,0.0019548714305256424,0.005190658773059555,0.004539906019017552,0.004868181323513018,0.004461387231356254
64,2.0,0.17777777777777778,1.0,0.0055243667941859064,0.005058032811488698,0.0055489857528350246,0.005651688627638505,0.00315970409945597,0.006277345353495655,0.0055687549119368285,0.0037239647534648788,0.005652385149618571
65,2.0,0.1891891891891892,0.875,0.004381968868552943,0.0038524903671932446,0.004483607619707306,0.0033651177972646006,0.0032643134450186413,0.0050470827223401465,0.00448943758593955,0.003966958847652872,0.004266312947626874
66,2.0,0.17391304347826086,1.0,0.005318422197892364,0.004422834504065222,0.005491214503784674,0.003712536134493412,0.005871964454974077,0.006303288326545767,0.005424675503234761,0.005030117759305686,0.005363017385019139
67,2.0,0.19047619047619047,1.0,0.0060339675021360666,0.006223854966926426,0.006053526589557349,0.004774847689268797,0.004273828524342239,0.006624821480956588,0.00595816398655258,0.005693538048239169,0.005735700362947856
68,2.0,0.20512820512820512,1.0,0.003811253818682047,0.0033145980380324845,0.0039088807180970506,0.0038495813696435505,0.003155393675231165,0.004410953206520894,0.0038619625666114626,0.004287576753074786,0.003956105350180822
69,2.0,0.17073170731707318,0.875,0.00341379510460428,0.0030490653476963614,0.0035123043366847963,0.002397645030659178,0.0027295966363105073,0.0033433836733937996,0.003458956826653782,0.003729633885854773,0.0035193869135412242
70,2.0,0.17073170731707318,0.875,0.006868514315424777,0.007424793772298764,0.007000311310195615,0.004241819061441379,0.0030576005374877186,0.008156311991665905,0.006818734368585643,0.007003584859559627,0.007172826331206262
71,2.0,0.17777777777777778,1.0,0.0025251427711499193,0.0025740303117529452,0.0024481469318664343,0.002681831928410021,0.002671151254181772,0.0026468258296703396,0.0026059443197334236,0.0029170390033820244,0.002869027426329291
72,2.0,0.17391304347826086,1.0,0.005059531541336833,0.004521873706804323,0.005243472652004322,0.00414283786814674,0.002803878998277235,0.005964484367311716,0.005112848146186978,0.0049254557708639304,0.005240662474846606
73,2.0,0.1951219512195122,1.0,0.007117843007902089,0.006402771443441251,0.007247208947396298,0.004453635492011621,0.006068211359927185,0.007435592668621281,0.007106840062179735,0.005923195758799317,0.005948013804065913
74,2.0,0.1282051282051282,0.625,0.006353799592166328,0.0064872649105307024,0.005895295434245399,0.004976575921931071,0.007001545028381862,0.006820091026061759,0.006417396382708493,0.004708475936332077,0.006213177014921575
75,2.0,0.16216216216216217,0.75,0.0035004711913391023,0.0030527250857837127,0.003677912286956558,0.0038552459051633976,0.003153696174006811,0.003767549529282836,0.003558292908598407,0.0034925849344042115,0.003570782291957494
76,2.0,0.2,1.0,0.003701147839850887,0.003577953922202712,0.003761149226359513,0.0024224713321734145,0.0036218471870626857,0.004293267829137362,0.003693871624006582,0.004198081397265136,0.00356689375916621
77,3.0,0.25,1.0,0.0036314278912214764,0.0035426731637848577,0.003697836671089505,0.0033219473237092022,0.0036700069586709863,0.004127812129160144,0.0036898285101963817,0.0038644690530141128,0.0036681876176446375
78,2.0,0.07692307692307693,0.125,0.005100967654400112,0.004920010428949091,0.005229106099120681,0.0028076401313829723,0.0030795587135329394,0.005520636619234867,0.005105706906341385,0.005235476254219411,0.005268434565303515
79,2.0,0.18181818181818182,1.0,0.0057835540099736345,0.005350519714257968,0.005720538280648613,0.004487923828333912,0.004344164246650106,0.006194506119200074,0.005804852434640775,0.005394549046199034,0.005870004947012443
80,2.0,0.17391304347826086,1.0,0.004144041612677502,0.004223929488598083,0.00418602198893185,0.004089204891955713,0.0029386875361617293,0.005040319952759291,0.0041796736583364445,0.002778213833294868,0.004334246891191226
81,2.0,0.20512820512820512,1.0,0.0026321868113971165,0.003031826541241029,0.002690935877692804,0.0020148328171369816,0.003371593651180636,0.0031965471339144933,0.0026602926238239863,0.002707736541789439,0.002690354550285891
82,2.0,0.2,1.0,0.003589630497516729,0.004054298858812526,0.0035089826648775488,0.0030236262017433713,0.003155363249196046,0.003764958737411787,0.0035918413003848022,0.00344850305417046,0.003549025630146205
83,2.0,0.17391304347826086,1.0,0.0040734801999647696,0.0038542692722718106,0.0039260280113506026,0.0030988405312227765,0.0028632620019505765,0.004226578677909802,0.004028786451589278,0.003845140899898447,0.003973078838450078
84,2.0,0.15384615384615385,0.75,0.0037885193622399765,0.0031122602957067446,0.0037971297018687144,0.003047581475396666,0.0038015666770437667,0.003869301141222588,0.0038802419137262396,0.003564190579314714,0.0036102184700124956
85,2.0,0.18181818181818182,1.0,0.006471723889691815,0.005550811673337124,0.006528586692805851,0.00557058023914519,0.003777974651924857,0.007190106384780285,0.006571425306260263,0.005300742931093908,0.006532842654755311
86,2.0,0.17073170731707318,0.875,0.002760840207817539,0.0032104224677764713,0.002833513598278376,0.001633556430748367,0.0017400258720679242,0.0030989285697548474,0.0027507244682971332,0.0027974801596339616,0.00289947689506303
87,2.0,0.17073170731707318,0.875,0.008172817622188664,0.007562108006605223,0.008292321968194795,0.004276783235796586,0.003994641688336245,0.008088638453643904,0.008258955832244603,0.007905704782696057,0.008161967631316599
88,2.0,0.15555555555555556,0.875,0.004306214231794679,0.003961573113742894,0.0042209632749492165,0.004954413912094037,0.003009131535486195,0.004238954909472635,0.0043594188453339585,0.003303620889271499,0.0045845444310196075
89,2.0,0.18181818181818182,1.0,0.004469561283003151,0.004686187758797391,0.004372624682677786,0.002586317540720389,0.0030783721801466747,0.004839716662190095,0.004544125506528069,0.0037802312714178593,0.004799194866553056
