region,model,n_ind,innovation,mixing,loss,matched,fst_median,sim_hs,sim_rich,sim_ht,obs_hs,obs_rich,obs_ht,selected
basin,pooled,120,0.1,0.01,0.004396474545659418,True,0.0002958374262362306,0.5187359948982028,6.2701149425287355,0.5267320606878036,0.5096609240503605,5.896551724137931,0.5224925592027359,False
basin,pooled,120,0.1,0.02,0.008111524871109834,True,0.00045130588542931585,0.5171241972291155,6.408045977011494,0.5325762222469687,0.5096609240503605,5.896551724137931,0.5224925592027359,False
basin,pooled,120,0.1,0.05,0.010313522506971168,True,0.00019853511238167407,0.5241437962204905,6.471264367816093,0.5238159824748702,0.5096609240503605,5.896551724137931,0.5224925592027359,False
basin,pooled,120,0.1,0.1,0.01894278440947594,False,0.0001996357888354036,0.5217401519284648,6.695402298850574,0.52520219597558,0.5096609240503605,5.896551724137931,0.5224925592027359,False
basin,pooled,120,0.1,0.2,0.02409350533279918,False,0.00042844364523108295,0.5195746779460735,6.804597701149426,0.5227966841164354,0.5096609240503605,5.896551724137931,0.5224925592027359,False
basin,pooled,120,0.1,0.4,0.025278943737432467,False,0.00024052598277866596,0.5183731643836914,6.827586206896552,0.5185831238592965,0.5096609240503605,5.896551724137931,0.5224925592027359,False
basin,pooled,120,0.2,0.001,0.01862967583640567,False,0.00023762605968002194,0.5181169362719799,6.695402298850574,0.5222451225601036,0.5096609240503605,5.896551724137931,0.5224925592027359,False
basin,pooled,120,0.2,0.002,0.022295681141393974,False,0.00014725138573285575,0.518170999873517,6.7701149425287355,0.5181524096177917,0.5096609240503605,5.896551724137931,0.5224925592027359,False
basin,pooled,120,0.2,0.005,0.01980926603089377,False,0.0002751496369899975,0.5142898234295854,6.724137931034483,0.5197076730762237,0.5096609240503605,5.896551724137931,0.5224925592027359,False
basin,pooled,120,0.2,0.01,0.02839502153661686,False,0.0003886297761980896,0.5222737181851796,6.879310344827586,0.5236383374521589,0.5096609240503605,5.896551724137931,0.5224925592027359,False
basin,pooled,120,0.2,0.02,0.02310206149201359,False,0.00021975582004604504,0.5181272633533339,6.787356321839081,0.521539713358849,0.5096609240503605,5.896551724137931,0.5224925592027359,False
basin,pooled,120,0.2,0.05,0.02857050073092395,False,0.00014513756568696972,0.5191241115450961,6.885057471264368,0.5282667615668543,0.5096609240503605,5.896551724137931,0.5224925592027359,False
basin,pooled,120,0.2,0.1,0.03357614393405871,False,0.0001638721030172505,0.5223841270170165,6.96551724137931,0.5273975045040603,0.5096609240503605,5.896551724137931,0.5224925592027359,False
basin,pooled,120,0.2,0.2,0.035115179587198266,False,0.00014632012900073812,0.5198877388867541,6.994252873563219,0.5264390538707039,0.5096609240503605,5.896551724137931,0.5224925592027359,False
basin,pooled,120,0.2,0.4,0.04082933864556479,False,0.0001320861011082189,0.5210780934702807,7.080459770114942,0.5245170146309431,0.5096609240503605,5.896551724137931,0.5224925592027359,False
basin,pooled,2000,0.0002,0.001,0.20982775172322626,False,0.03357689366377175,0.4267822129089824,3.419540229885058,0.47903297762537606,0.5096609240503605,5.896551724137931,0.5224925592027359,False
basin,pooled,2000,0.0002,0.002,0.20780898670667214,False,0.013559553896746613,0.4507873482916242,3.298850574712644,0.5122455886412465,0.5096609240503605,5.896551724137931,0.5224925592027359,False
basin,pooled,2000,0.0002,0.005,0.12096650214377268,False,0.009433117223091564,0.4850645072437357,3.867816091954023,0.5140048978994513,0.5096609240503605,5.896551724137931,0.5224925592027359,False
basin,pooled,2000,0.0002,0.01,0.10707458938947648,False,0.008846278736895278,0.4784752595201243,4.005747126436781,0.5107407789752286,0.5096609240503605,5.896551724137931,0.5224925592027359,False
basin,pooled,2000,0.0002,0.02,0.054984993639955335,False,0.004247683881430337,0.5046248668776797,4.517241379310344,0.5156868096789724,0.5096609240503605,5.896551724137931,0.5224925592027359,False
basin,pooled,2000,0.0002,0.05,0.05596502962143336,False,0.002934305048627002,0.4863052634350054,4.580459770114943,0.4892488471840228,0.5096609240503605,5.896551724137931,0.5224925592027359,False
basin,pooled,2000,0.0002,0.1,0.061170132743220626,False,0.0007005521861553413,0.5425057920394469,4.517241379310344,0.5475468376408998,0.5096609240503605,5.896551724137931,0.5224925592027359,False
basin,pooled,2000,0.0002,0.2,0.040134305408454606,False,0.0016818308109693507,0.5035891507168357,4.7298850574712645,0.5072999768753165,0.5096609240503605,5.896551724137931,0.5224925592027359,False
basin,pooled,2000,0.0002,0.4,0.03819213155479839,False,0.0005535975255437924,0.49504194167060017,4.764367816091954,0.5107814937459287,0.5096609240503605,5.896551724137931,0.5224925592027359,False
basin,pooled,2000,0.0005,0.001,0.17488613807746217,False,0.018493807018919527,0.4370431514260659,3.5862068965517238,0.505420974518711,0.5096609240503605,5.896551724137931,0.5224925592027359,False
